Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Rhode Island,US,1/2/2021 5:30,41.6809,-71.5118,87949,1944,5381,80624,44,8302.080216,1974498,,2.21037192,84000044,USA,186385.7552,,1/1/2021,,
South Carolina,US,1/2/2021 5:30,33.8569,-80.945,307507,5296,151084,151127,45,5972.501094,3173021,,1.722237217,84000045,USA,61627.44716,,1/1/2021,,
South Dakota,US,1/2/2021 5:30,44.2998,-99.4388,99164,1488,91980,5696,46,11209.29081,372640,,1.500544552,84000046,USA,42122.44492,,1/1/2021,,
Tennessee,US,1/2/2021 5:30,35.7478,-86.6923,592173,6955,508914,76463,47,8673.552614,5644058,,1.174172592,84000047,USA,82646.27611,,1/1/2021,,
Texas,US,1/2/2021 5:30,31.0545,-97.5635,1823831,28359,1435164,356270,48,6276.03969,13848790,,1.558364056,84000048,USA,47761.23202,,1/1/2021,,
Utah,US,1/2/2021 5:30,40.15,-111.8624,276612,1269,224439,50904,49,8628.06063,2245303,,0.458765346,84000049,USA,70035.32174,,1/1/2021,,
Vermont,US,1/2/2021 5:30,44.0459,-72.7107,7412,136,4959,2317,50,1187.841452,697705,,1.834862385,84000050,USA,111813.6698,,1/1/2021,,
Virgin Islands,US,1/2/2021 5:30,18.3358,-64.8963,2036,23,1901,112,78,1898.049745,36212,,1.129666012,850,VIR,33758.43681,,1/1/2021,,
Virginia,US,1/2/2021 5:30,37.7693,-78.17,354766,5081,30964,318721,51,4156.349485,4291320,,1.432211655,84000051,USA,50276.02891,,1/1/2021,,
Washington,US,1/2/2021 5:30,47.4009,-121.4905,246752,3461,,,53,3240.386963,3836820,,1.402622876,84000053,USA,50385.73753,,1/1/2021,,
West Virginia,US,1/2/2021 5:30,38.4912,-80.9545,87820,1361,60316,26143,54,4900.267668,1535487,,1.549760875,84000054,USA,85678.63016,,1/1/2021,,
Wisconsin,US,1/2/2021 5:30,44.2685,-89.6165,522523,5254,450358,66911,55,8974.305248,5380828,,1.005505978,84000055,USA,9.24E-06,,1/1/2021,,
Wyoming,US,1/2/2021 5:30,42.756,-107.3025,44409,438,42570,1401,56,7673.142016,501784,,0.986286564,84000056,USA,86699.99084,,1/1/2021,,
